coverage,depth,frequency_0,frequency_1,height,hf driver,lf driver,max spl,wattage,weight,width
-0.2222222222222219,0.07205882352941206,-0.0072727272727271955,-0.08866442199775536,0.11559633027522981,0.17435897435897432,-0.0219780219780219,0.3636363636363626,0.3846153846153845,0.3588414634146343,0.023015873015872945
4.736951571734001e-16,0.1308823529411766,-0.4072727272727272,-0.08866442199775536,0.15229357798165202,-0.7589743589743589,-0.0219780219780219,-0.23636363636363739,0.3846153846153845,-0.031402439024390064,0.054761904761904574
0.27777777777777807,-0.2220588235294115,0.2327272727272728,-0.08866442199775536,-0.18715596330275186,0.17435897435897432,-0.3076923076923076,0.1636363636363626,0.3846153846153845,-0.12286585365853642,-0.1992063492063493
4.736951571734001e-16,0.2485294117647061,-0.4072727272727272,-0.08866442199775536,0.4275229357798171,-0.7589743589743589,0.40659340659340665,-0.1363636363636374,0.3846153846153845,0.15152439024390263,0.41984126984126974
-0.2222222222222219,0.5279411764705882,-0.4072727272727272,0.8989898989898989,0.4183486238532115,-0.09230769230769227,0.40659340659340665,0.5636363636363626,-0.11538461538461547,0.5417682926829269,0.4992063492063491
0.7777777777777781,-0.3985294117647058,0.3527272727272728,-0.08866442199775536,-0.4348623853211004,0.17435897435897432,-0.5934065934065933,-0.036363636363637396,0.3846153846153845,-0.27530487804878034,-0.4531746031746032
0.27777777777777807,-0.4720588235294117,0.2327272727272728,-0.08866442199775536,-0.5724770642201829,0.17435897435897432,-0.5934065934065933,-0.4363636363636374,-0.6153846153846154,-0.458231707317073,-0.5007936507936509
-0.2222222222222219,0.10147058823529433,0.5927272727272728,-0.10101010101010104,0.14311926605504638,0.24102564102564106,-0.0219780219780219,-0.23636363636363739,-0.6153846153846154,-0.06189024390243885,0.023015873015872945
4.736951571734001e-16,-2.6122894697062513e-16,0.0,0.0,3.2593703475233945e-16,0.17435897435897432,0.40659340659340665,0.0,0.3846153846153845,2.166288828536891e-16,0.0
4.736951571734001e-16,-2.6122894697062513e-16,0.0,0.0,3.2593703475233945e-16,0.17435897435897432,-0.0219780219780219,0.0,0.3846153846153845,2.166288828536891e-16,0.0
-0.2222222222222219,-2.6122894697062513e-16,-0.3272727272727272,-0.08866442199775536,3.2593703475233945e-16,0.24102564102564106,0.40659340659340665,-0.1363636363636374,-0.6153846153846154,2.166288828536891e-16,0.0
-0.2222222222222219,-0.08970588235294111,-0.047272727272727195,-0.08866442199775536,-0.19633027522935717,0.17435897435897432,-0.0219780219780219,-0.23636363636363739,-0.6153846153846154,-0.17469512195121933,-0.008730158730158684
-0.2222222222222219,0.10147058823529433,0.1927272727272728,-0.08866442199775536,0.13394495412844074,-0.09230769230769227,-0.0219780219780219,0.3636363636363626,-0.11538461538461547,0.07225609756097576,0.14206349206349198
